ID,lat,lon
1,23.5,-97.75879873
2,23.59991764,-97.74368665
3,23.70077273,-97.73700198
4,23.8018519,-97.73546699
5,23.9029474,-97.73568523
6,24.00402856,-97.73426421
7,24.10496092,-97.7286535
8,24.20562114,-97.71932344
9,24.30600993,-97.70740311
10,24.4060997,-97.69319984
11,24.50563002,-97.6755191
12,24.60433404,-97.65368915
13,24.70219666,-97.62834353
14,24.79930751,-97.60024836
15,24.89579177,-97.57006908
16,24.99131868,-97.53700042
17,25.08499094,-97.49901845
18,25.17646671,-97.45599549
19,25.26663638,-97.410284
20,25.35588357,-97.36280065
21,25.44332599,-97.31208114
22,25.52956678,-97.25932938
23,25.61810768,-97.21059589
24,25.7117588,-97.17279633
25,25.81061503,-97.15229659
26,25.91150465,-97.14684817
27,26.01256043,-97.14916076
28,26.11251175,-97.16369616
29,26.21244059,-97.17887843
30,26.31151056,-97.19879323
31,26.40923313,-97.22466338
32,26.50545281,-97.25561701
33,26.60032465,-97.29053182
34,26.69653042,-97.32157882
35,26.79393855,-97.34856881
36,26.89307579,-97.36823039
37,26.99361274,-97.37835528
38,27.0946544,-97.37735255
39,27.19506829,-97.36602863
40,27.29353015,-97.34333121
41,27.38950697,-97.31167148
42,27.48218127,-97.27135855
43,27.57225589,-97.22546283
44,27.66100852,-97.17708822
45,27.74498303,-97.12088731
46,27.82659013,-97.0612253
47,27.90844771,-97.0019153
48,27.98404,-96.93488935
49,28.05385697,-96.86179536
50,28.11745662,-96.78324375
51,28.17711363,-96.70163877
52,28.2320246,-96.6167662
53,28.27811686,-96.52698188
54,28.32629559,-96.438848
55,28.39340148,-96.36333274
56,28.4520058,-96.28095952
57,28.50358703,-96.19414773
58,28.54628251,-96.10251645
59,28.58539836,-96.00930327
60,28.62135028,-95.91481727
61,28.66127383,-95.82196656
62,28.70797691,-95.73231685
63,28.75532671,-95.64299941
64,28.80227258,-95.55347408
65,28.84297211,-95.46114963
66,28.88555462,-95.36996142
67,28.94778941,-95.29031946
68,29.00951401,-95.21026483
69,29.07037945,-95.12954933
70,29.13294803,-95.05015861
71,29.18615657,-94.96424831
72,29.238069,-94.87749974
73,29.2866261,-94.78884653
74,29.35589706,-94.7192992
75,29.43910573,-94.66705888
76,29.4769004,-94.57343056
77,29.51534935,-94.47994046
78,29.55051367,-94.38515786
79,29.58663984,-94.29073772
80,29.62417914,-94.19687081
81,29.65845642,-94.10179067
82,29.68059641,-94.00333767
83,29.68122411,-93.90231821
84,29.70895021,-93.80551842
85,29.74222929,-93.71021667
86,29.75596368,-93.61010428
87,29.76710745,-93.50962708
88,29.76586278,-93.40876337
89,29.7690566,-93.30830672
90,29.7749061,-93.2079795
91,29.75581661,-93.10873428
92,29.73098874,-93.01075162
93,29.69667958,-92.91570548
94,29.65780334,-92.82238438
95,29.61951775,-92.72883579
96,29.59133178,-92.63180763
97,29.57260118,-92.53249005
98,29.55542535,-92.43288682
99,29.53456907,-92.33399075
100,29.55171665,-92.23620458
101,29.58469123,-92.1411086
102,29.57959607,-92.04084418
103,29.53680267,-91.94971441
104,29.4860336,-91.86260777
105,29.49276603,-91.76530042
106,29.57397098,-91.70602923
107,29.62996067,-91.62496803
108,29.59534092,-91.54081638
109,29.50459852,-91.51769698
110,29.4780712,-91.42030888
111,29.41924744,-91.34084602
112,29.31995641,-91.34051121
113,29.24722879,-91.27848288
114,29.22420358,-91.1805929
115,29.19809206,-91.08386382
116,29.12737027,-91.01281046
117,29.05686657,-90.94162715
118,29.04446548,-90.84279552
119,29.04735975,-90.74178509
120,29.07122818,-90.64377976
121,29.08854235,-90.5453272
122,29.05363205,-90.45070123
123,29.05606565,-90.35073372
124,29.09940267,-90.26228035
125,29.10165015,-90.16678166
126,29.16886568,-90.09138582
127,29.22407286,-90.0068657
128,29.28474284,-89.93119495
129,29.32253089,-89.83778574
130,29.36173324,-89.7446633
131,29.41616535,-89.65974333
