original_index,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
92,93.0,1.0,13.0,29.72609275534608,-89.34273231920886,-60.0,98.0,51.2,15.1,0.94
95,96.0,1.0,13.0,29.72609275534608,-89.34273231920886,-60.0,38.0,27.0,20.2,1.5
97,98.0,1.0,14.0,30.210605513108582,-89.10169300548739,-60.0,138.0,17.7,18.4,1.49
101,102.0,1.0,14.0,30.210605513108582,-89.10169300548739,-60.0,58.0,109.6,23.6,0.91
102,103.0,1.0,14.0,30.210605513108582,-89.10169300548739,-60.0,38.0,61.8,22.6,1.1
103,104.0,1.0,14.0,30.210605513108582,-89.10169300548739,-60.0,18.0,62.6,16.4,0.94
105,106.0,1.0,15.0,30.22808803322403,-87.88618890777089,-60.0,118.0,12.3,21.1,1.44
106,107.0,1.0,15.0,30.22808803322403,-87.88618890777089,-60.0,98.0,33.7,10.7,1.28
107,108.0,1.0,15.0,30.22808803322403,-87.88618890777089,-60.0,78.0,21.7,26.8,1.28
108,109.0,1.0,15.0,30.22808803322403,-87.88618890777089,-60.0,58.0,101.2,19.9,0.99
110,111.0,1.0,15.0,30.22808803322403,-87.88618890777089,-60.0,18.0,127.9,17.3,0.89
121,122.0,1.0,17.0,29.057251139818465,-95.14695917631518,-40.0,88.0,61.4,18.4,1.08
130,131.0,1.0,18.0,29.394704676881204,-94.69493488687795,-40.0,68.0,60.8,35.9,1.04
131,132.0,1.0,18.0,29.394704676881204,-94.69493488687795,-40.0,48.0,74.9,10.1,0.91
132,133.0,1.0,18.0,29.394704676881204,-94.69493488687795,-40.0,28.0,48.1,20.0,1.15
137,138.0,1.0,19.0,29.640797797714487,-94.15077310141798,-40.0,88.0,54.1,15.3,0.96
138,139.0,1.0,19.0,29.640797797714487,-94.15077310141798,-40.0,68.0,65.5,10.6,0.98
145,146.0,1.0,20.0,29.766952439439766,-93.49706552479942,-40.0,88.0,48.5,26.8,1.04
147,148.0,1.0,20.0,29.766952439439766,-93.49706552479942,-40.0,48.0,88.2,12.5,1.18
148,149.0,1.0,20.0,29.766952439439766,-93.49706552479942,-40.0,28.0,56.1,9.3,0.92
150,151.0,1.0,21.0,29.574824952440338,-92.5442814267995,-40.0,148.0,23.5,50.0,1.44
151,152.0,1.0,21.0,29.574824952440338,-92.5442814267995,-40.0,128.0,13.9,23.0,1.44
154,155.0,1.0,21.0,29.574824952440338,-92.5442814267995,-40.0,68.0,14.9,34.0,1.27
155,156.0,1.0,21.0,29.574824952440338,-92.5442814267995,-40.0,48.0,72.1,24.2,1.06
157,158.0,1.0,21.0,29.574824952440338,-92.5442814267995,-40.0,8.0,74.0,14.6,0.94
158,159.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,148.0,10.9,36.7,1.47
159,160.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,128.0,37.5,31.2,1.37
160,161.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,108.0,17.0,38.9,1.35
161,162.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,88.0,25.8,13.3,1.65
162,163.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,68.0,13.7,26.8,1.33
163,164.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,48.0,69.5,10.9,1.07
164,165.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,28.0,64.9,24.7,0.95
165,166.0,1.0,22.0,29.545005580062117,-91.72717097045887,-40.0,8.0,19.8,13.6,1.18
168,169.0,1.0,23.0,29.065200491974476,-90.48205801519704,-40.0,108.0,26.7,10.4,1.57
170,171.0,1.0,23.0,29.065200491974476,-90.48205801519704,-40.0,68.0,54.6,11.8,1.3
171,172.0,1.0,23.0,29.065200491974476,-90.48205801519704,-40.0,48.0,60.1,16.8,1.06
172,173.0,1.0,23.0,29.065200491974476,-90.48205801519704,-40.0,28.0,133.7,20.5,0.98
174,175.0,1.0,24.0,29.290762766076778,-89.91631414023635,-40.0,148.0,12.6,17.0,1.54
177,178.0,1.0,24.0,29.290762766076778,-89.91631414023635,-40.0,88.0,72.4,14.3,0.99
180,181.0,1.0,24.0,29.290762766076778,-89.91631414023635,-40.0,28.0,50.0,17.5,0.97
181,182.0,1.0,24.0,29.290762766076778,-89.91631414023635,-40.0,8.0,109.9,18.0,0.92
